id,name,age,city
1,John,35,New York
2,Jane,29,Chicago
3,Bob,41,Boston
4,Sarah,27,Seattle
5,Mike,33,Los Angeles
6,Jessica,31,Houston
7,Chris,40,Philadelphia 
8,Lisa,24,Phoenix
9,Kevin,38,San Diego
10,Amanda,42,Denver
11,Mark,36,Washington
12,Laura,29,Miami
13,Steve,27,Dallas
14,Karen,40,Detroit
15,Tom,32,San Jose
16,Stacy,30,Jacksonville 
17,Dan,41,Indianapolis
18,Mary,35,Austin
19,Melissa,28,Columbus
20,Joshua,31,Charlotte
21,Nicole,26,San Francisco
22,Alex,33,El Paso
23,Michelle,37,Memphis
24,James,29,Seattle
25,Rebecca,24,Denver
26,David,36,Washington
27,Patricia,42,Las Vegas
28,Michael,38,Portland
29,Jennifer,41,Oklahoma City
30,Robert,32,Milwaukee
31,Linda,27,Albuquerque
32,William,29,Tucson  
33,Elizabeth,31,Fresno
34,Richard,40,Sacramento
35,Barbara,28,Kansas City
36,Joseph,33,Mesa
37,Jessica,26,Virginia Beach
38,Thomas,37,Atlanta
39,Margaret,42,Colorado Springs
40,Charles,29,Raleigh
41,Christopher,24,Omaha
42,Daniel,36,Miami
43,Matthew,38,Oakland
44,Donald,41,Minneapolis
45,Anthony,32,Tulsa
46,Lisa,27,Cleveland
47,Paul,29,Wichita
48,Dorothy,31,Arlington
49,Mark,40,Bakersfield
50,Susan,28,Tampa
51,Karen,33,Anaheim
52,Steven,26,Aurora
53,Nancy,37,Santa Ana 
54,Edward,42,St. Louis
55,Brian,29,Riverside
56,Ronald,24,Corpus Christi
57,Timothy,36,Pittsburgh
58,Jane,38,Lexington
59,Jason,41,Anchorage
60,Jeffrey,32,Stockton  
61,Amy,27,Cincinnati
62,Helen,29,St. Paul 
63,Ryan,31,Toledo
64,Jacqueline,40,Newark
65,Sandra,28,Greensboro
66,Justin,33,Buffalo
67,Sarah,26,Plano
68,Diane,37,Lincoln
69,Virginia,42,Henderson
70,Eric,29,Fort Wayne
71,Stephen,24,Jersey City
72,Andrew,36,Chula Vista
73,Sharon,38,Orlando
74,Scott,41,Laredo
75,Brenda,32,Chandler
76,Catherine,27,Madison
77,Samuel,29,Durham
78,Amanda,31,Lubbock
79,Harold,40,Winston-Salem
80,Douglas,28,Glendale 
81,Kimberly,33,Garland
82,Carl,26,Hialeah
83,Peter,37,Reno
84,Jose,42,Chesapeake
85,Dennis,29,Gilbert
86,Janet,24,Baton Rouge
87,Terry,36,Irving
88,Gerald,38,Scottsdale
89,Sara,41,Fremont
90,Ruth,32,Irvine
91,Victor,27,Spokane
92,Kathleen,29,Modesto
93,Raymond,31,Shreveport
94,Lawrence,40,Tacoma
95,Evelyn,28,Fontana
96,Jean,33,Oxnard
97,Jesse,26,Akron
98,Judith,37,Moreno Valley
99,Alice,42,Yonkers
100,Bruce,29,Aurora
