loyalty_id,rewards_id,name_id,first_name,middle_initial,last_name,program_id,emp_property_nbr,reward_parent_id,loyalty_program_id,loyalty_program_desc,enrollment_dt,zip_code,country,country_code,address1,address2,address3,address4,city,state_code,state_name,email_address,phone_nbr,phone_type
899b6728994d4309b9411ba9e4838a83,6006640000000000,740309138,Debra35193,D,Kim61994,302,3618,6.01E+15,1,BWR,1/29/1995 22:30,5180,UNITED STATES,US,35859 Anne Corners Apt. 313,,,,Jacobsport,TN,Delaware,ad1linda44@example.org,(310)768-6282,HOME
d869295c76b341b2921b3dcf2a71290a,6006640000000000,740308289,Christianeab75,D,Thompson829b7,998,3730,6.01E+15,1,BWR,7/6/1999 22:55,30785,UNITED STATES,US,8836 Bowman Squares Apt. 217,,,,Craighaven,AL,Kansas,d9djonesann@example.org,+1-019-887-4693x93887,HOME
8d8749e1766a41169d800c839abca6d0,6006640000000000,740305880,Adame6779,B,Rhodesb6dd8,3059,2114,6.01E+15,1,BWR,12/18/2002 20:21,69095,UNITED STATES,US,04427 Herrera Crescent Apt. 179,,,,Andersonchester,NE,New Jersey,259linda04@example.com,8041814421,OFFICE
6222bc11010649b2890a76e7086e9ad8,6006640000000000,740309657,Michaelfc9d8,C,Ellison8eb91,4473,1340,6.01E+15,1,BWR,10/5/2010 1:58,46968,UNITED STATES,US,137 Poole Mission Suite 304,,,,Lisashire,WY,Kentucky,993ssherman@example.org,-4081,OFFICE
ae80e6a264e64b0eb69502d035f4e081,6006640000000000,740305325,Bryanfc55e,C,Johnson1c956,396,3748,6.01E+15,1,BWR,3/12/2005 17:31,39747,UNITED STATES,US,9656 York Alley Suite 639,,,,East John,FM,Alabama,f2ejaimevaughn@example.org,264.457.1072x7729,OFFICE
e8b3c26ae07348aa9651dc982ca50a55,6006640000000000,740307515,James70357,D,Williamsddded,657,5066,6.01E+15,1,BWR,5/27/2022 7:23,75045,UNITED STATES,US,0485 Miller Springs,,,,Brianfurt,GA,Illinois,291morrowrebecca@example.net,246382811,OFFICE
e1b4d85810ad4f509f3332558a1a5868,6006640000000000,740308280,Frederickb1bae,B,Williamsddded,3612,4926,6.01E+15,1,BWR,6/5/2002 11:59,49446,UNITED STATES,US,06211 Vanessa Bridge,,,,South Dan,WY,Colorado,a0fosbornenicole@example.net,(039)019-8953x39441,OFFICE
266de5daae034f4ba15e5f8b0a76e5e1,6006640000000000,740309691,Bradley447fe,D,Pacheco7e193,881,3680,6.01E+15,1,BWR,7/8/2004 20:14,39592,UNITED STATES,US,356 Frank Prairie Suite 732,,,,North Heatherport,FM,Texas,e17bwright@example.org,+1-727-492-5625x2796,OFFICE
997becb2d709422cbf6957325a5c3da0,6006640000000000,740306517,Stephenf06af,A,Thompson829b7,2739,5579,6.01E+15,1,BWR,4/5/2003 7:27,67256,UNITED STATES,US,64941 Orozco Mission,,,,Andersonchester,FM,Georgia,a42ashley88@example.org,363-761-5473,HOME
aa007cb8c5144a05b19bc3990d6b0a0b,6006640000000000,740306131,Karenbcf8f,A,Rhodesb6dd8,1255,4801,6.01E+15,1,BWR,4/12/1996 8:52,22317,UNITED STATES,US,24098 Lisa Summit,,,,Valerieburgh,SD,New Hampshire,490anthonywagner@example.net,421-260-3537,OFFICE
1a26e79cb7d442efaae022a025cdf2cd,6006640000000000,740305864,Ryan70dca,D,Bondfad25,348,3128,6.01E+15,1,BWR,9/30/2020 18:19,74156,UNITED STATES,US,8698 Paige Station Apt. 199,,,,East Dennis,MN,Florida,18arichardgarcia@example.com,+1-295-429-1702x84872,HOME
27434217efcc4c7b9ee3748bbaafb5f5,6006640000000000,740309700,Dianee8b6d,B,Rogers2700d,29,3387,6.01E+15,1,BWR,7/29/2005 16:14,86137,UNITED STATES,US,0744 Diana Station,,,,East Zoemouth,AL,New Jersey,d81julie03@example.com,+1-133-481-2178x14187,HOME
